               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,             0.10835,             0.16554,           0.0052261,             0.73377,             0.61565,             0.62055,             0.20345,            0.095376,              0.1246,           0.0046694,             0.00736,             0.00736,             0.00736
                  90,             0.10851,              0.1622,           0.0054865,             0.73373,             0.61031,             0.61469,             0.19924,            0.095368,             0.12461,           0.0047241,             0.00733,             0.00733,             0.00733
                  91,             0.10794,             0.15984,           0.0052235,              0.7273,             0.60618,             0.60677,             0.19363,            0.095682,             0.12517,            0.004722,              0.0073,              0.0073,              0.0073
                  92,             0.10792,             0.16237,           0.0052017,             0.72225,             0.61537,             0.61174,             0.20022,            0.095572,             0.12463,           0.0047678,             0.00727,             0.00727,             0.00727
                  93,             0.10786,             0.15963,           0.0050707,             0.73233,             0.60708,             0.61162,             0.20013,            0.095605,             0.12543,           0.0047139,             0.00724,             0.00724,             0.00724
                  94,             0.10945,              0.1723,           0.0053793,             0.72434,             0.61015,             0.60902,              0.2001,            0.095317,             0.12556,           0.0047304,             0.00721,             0.00721,             0.00721
                  95,             0.10813,             0.16077,           0.0055923,             0.72362,             0.61387,              0.6098,             0.19951,            0.095501,             0.12536,           0.0047812,             0.00718,             0.00718,             0.00718
                  96,             0.10754,             0.16627,           0.0051894,             0.71479,             0.61454,             0.61242,              0.2008,            0.095425,             0.12574,            0.004737,             0.00715,             0.00715,             0.00715
                  97,             0.10754,              0.1603,           0.0049837,             0.73416,             0.61581,             0.61403,             0.20273,            0.095509,             0.12528,           0.0047087,             0.00712,             0.00712,             0.00712
                  98,             0.10805,             0.16127,           0.0051706,             0.72998,              0.6123,             0.61765,              0.2015,            0.095551,             0.12568,           0.0046892,             0.00709,             0.00709,             0.00709
                  99,             0.10741,             0.16545,            0.005218,             0.73396,             0.60944,             0.60973,             0.20027,            0.095584,             0.12597,           0.0047348,             0.00706,             0.00706,             0.00706
                 100,             0.10751,             0.15913,           0.0051568,             0.74004,             0.61302,             0.61315,              0.1994,            0.095519,             0.12572,           0.0047317,             0.00703,             0.00703,             0.00703
                 101,             0.10779,             0.16024,           0.0051633,             0.72568,             0.60923,             0.60561,             0.19667,            0.095487,             0.12578,             0.00474,               0.007,               0.007,               0.007
                 102,             0.10689,             0.15745,            0.005077,             0.72417,             0.60607,             0.60223,             0.19733,            0.095425,             0.12577,           0.0047359,             0.00697,             0.00697,             0.00697
                 103,             0.10933,             0.15843,           0.0051309,             0.73663,             0.60683,             0.60673,              0.1963,             0.09548,             0.12594,           0.0046957,             0.00694,             0.00694,             0.00694
                 104,             0.10762,             0.16505,           0.0053931,             0.72892,             0.60911,             0.60601,             0.19774,            0.095615,             0.12634,           0.0046758,             0.00691,             0.00691,             0.00691
                 105,             0.10742,             0.15983,           0.0053287,             0.72684,             0.60356,              0.6035,             0.19816,            0.095508,             0.12605,           0.0046698,             0.00688,             0.00688,             0.00688
                 106,              0.1081,             0.16545,           0.0050448,             0.72969,             0.61392,             0.60901,             0.19713,            0.095576,             0.12582,           0.0046549,             0.00685,             0.00685,             0.00685
                 107,             0.10838,             0.16066,           0.0052275,             0.72362,             0.61979,             0.60969,             0.19643,            0.095607,             0.12671,           0.0046682,             0.00682,             0.00682,             0.00682
                 108,             0.10716,             0.16286,           0.0051204,             0.73583,             0.61595,             0.61379,             0.20181,            0.095491,              0.1263,           0.0046278,             0.00679,             0.00679,             0.00679
                 109,             0.10692,             0.15875,           0.0054025,             0.73013,             0.61346,             0.61147,             0.19721,            0.095654,             0.12651,           0.0047445,             0.00676,             0.00676,             0.00676
                 110,              0.1076,             0.16128,           0.0051907,             0.71545,             0.61713,             0.60653,             0.19598,            0.095796,             0.12687,           0.0047404,             0.00673,             0.00673,             0.00673
                 111,             0.10812,             0.15714,           0.0049853,              0.7193,             0.61419,             0.60484,             0.19527,            0.095817,             0.12658,           0.0047241,              0.0067,              0.0067,              0.0067
                 112,             0.10822,             0.16275,           0.0050634,             0.73252,             0.61579,             0.60787,             0.19416,            0.095601,             0.12649,           0.0046671,             0.00667,             0.00667,             0.00667
                 113,             0.10721,             0.16245,           0.0053108,             0.72161,             0.61513,             0.60945,             0.19541,            0.095621,             0.12646,           0.0046707,             0.00664,             0.00664,             0.00664
                 114,             0.10652,             0.15756,           0.0051743,             0.73034,             0.61271,             0.61267,             0.19795,            0.095543,             0.12604,           0.0047079,             0.00661,             0.00661,             0.00661
                 115,             0.10707,             0.16069,           0.0051998,             0.74513,             0.60991,             0.61516,             0.19886,            0.095361,             0.12609,              0.0047,             0.00658,             0.00658,             0.00658
                 116,             0.10747,                0.16,           0.0052181,             0.73329,             0.61856,             0.61751,             0.19762,            0.095499,             0.12654,           0.0047163,             0.00655,             0.00655,             0.00655
                 117,             0.10597,              0.1616,           0.0054696,             0.72645,             0.61668,             0.61067,               0.197,            0.095703,             0.12685,            0.004659,             0.00652,             0.00652,             0.00652
                 118,             0.10672,              0.1682,           0.0052384,             0.73491,             0.61224,             0.61261,             0.19803,            0.095473,             0.12628,           0.0046801,             0.00649,             0.00649,             0.00649
                 119,              0.1067,             0.15698,           0.0051321,             0.72842,             0.61707,             0.61651,             0.19841,            0.095491,             0.12661,           0.0046654,             0.00646,             0.00646,             0.00646
                 120,             0.10675,             0.16428,           0.0052644,             0.72981,              0.6106,             0.61447,             0.19983,             0.09548,             0.12652,           0.0046144,             0.00643,             0.00643,             0.00643
                 121,             0.10816,             0.16439,           0.0049289,             0.72428,             0.61455,             0.60926,              0.1931,            0.095676,             0.12683,           0.0046344,              0.0064,              0.0064,              0.0064
                 122,             0.10626,             0.16245,            0.005076,             0.71486,             0.61685,             0.60357,             0.19368,            0.095658,              0.1275,           0.0046692,             0.00637,             0.00637,             0.00637
                 123,             0.10591,              0.1645,           0.0051993,             0.72332,             0.61242,             0.60511,             0.19333,            0.095691,             0.12771,           0.0046626,             0.00634,             0.00634,             0.00634
                 124,             0.10662,             0.16091,           0.0052539,             0.72491,             0.61145,             0.60569,             0.19561,            0.095597,              0.1278,           0.0046329,             0.00631,             0.00631,             0.00631
                 125,             0.10801,             0.15842,           0.0047904,             0.73323,             0.61964,             0.61607,             0.19901,            0.095449,             0.12739,           0.0045886,             0.00628,             0.00628,             0.00628
                 126,             0.10763,             0.16854,           0.0050729,             0.72856,             0.60582,             0.60767,             0.19636,            0.095528,             0.12697,           0.0046477,             0.00625,             0.00625,             0.00625
                 127,             0.10612,             0.15797,           0.0048511,             0.73305,             0.61115,             0.60219,             0.19608,            0.095482,             0.12722,           0.0046515,             0.00622,             0.00622,             0.00622
                 128,             0.10626,             0.15145,           0.0047429,             0.72868,             0.62221,             0.61168,             0.19815,            0.095511,             0.12711,           0.0045846,             0.00619,             0.00619,             0.00619
                 129,              0.1052,             0.15827,           0.0048394,             0.72467,             0.62938,             0.61619,             0.19652,            0.095601,             0.12712,           0.0045642,             0.00616,             0.00616,             0.00616
                 130,             0.10707,             0.16276,           0.0051767,             0.73458,             0.62317,             0.61273,             0.19206,            0.095675,             0.12814,           0.0045895,             0.00613,             0.00613,             0.00613
                 131,             0.10718,             0.15687,           0.0050436,             0.72524,             0.61608,             0.60216,             0.19288,            0.095648,             0.12854,           0.0046265,              0.0061,              0.0061,              0.0061
                 132,             0.10567,             0.15988,           0.0053042,             0.71969,             0.62304,             0.60678,             0.19525,            0.095567,              0.1278,           0.0045929,             0.00607,             0.00607,             0.00607
                 133,             0.10526,             0.15546,           0.0049608,             0.72941,             0.62166,             0.60501,             0.19389,            0.095491,             0.12763,           0.0045717,             0.00604,             0.00604,             0.00604
